Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
goorndi  	[goorn-di] nominal. female cousin, uncle and aunty's daughter. Ngirndaji goornboo ngarragi goorndi, ngarragi nihingi nyaanyi ngawi. This woman is my cousin, from my uncle and aunty.  [WB] Category: relations.
goorndilangoo  	[goorndi-langoo] nominal. cousin sisters. Niyajiyoorroo goornboo goorndilangoo. Those two women are cousin sisters. Category: relations.
goorndiwa  	[goorndi-wa] nominal. his/her cousin sister. Niyaji goornboo nhoo goorndi. That woman is his cousin sister. Category: relations.
goorndiwadi  	[goorndi-wadi] nominal. your female cousin, your uncle and aunty's daughter. Goorndiwadi ngirndajiyami waranggiri? Is your cousin sister living here? Category: relations.
goorndiyarrangi  	[goorndi-yarrangi] nominal. our female cousin, our uncle and aunty's daughter. Ginyandi goorndiyarrangi thithi wardji. That cousin sister of ours went away. Category: relations.
goorngawoornga  	[goornga-woornga] nominal. big black stinging ant.  [PM, SL, Insects in Australia 194] Category: insects and spiders.
goornimi  	[goorni-mi] nominal. hakea  flower. Hakea suberea macrocarpa. The yellow flowers can be sucked to obtain nectar. When the base of the flowers turn black, the honey is ready to eat.  The bark is burnt and ground into black powder, which is mixed with a little water and rubbed onto the skin of small babies to keep them cool. In the past it was used to darken the skin of pale babies so that they were not taken away by Native Welfare Officers or police. Found at the entrance to Eight Mile community.  [SL, NC, Broome and Beyond 171] Category: bush food.
gooroo  	[goo-roo] nominal. 1 • fresh water mangrove. Barringtonia acutangula. The bark of this tree is used for  poisoning fish. It is also used to make a medicinal infusion for the treatment of sores. Category: plants.
2 • skin name. Jaji ngaangi gooroo? What is your skin name? Category: skin groups.
gooroodoo  	nominal. image, reflection, shadow. Nganyinga milarla  ngarragi gooroodoo gambaya I  saw my reflection in the water. The meaning of this word has been extended to include a photograph or image of a person on television or film.  [LC, RC, FGG 334] Category: qualities.
gooroogooroo  	[gooroo-gooroo] nominal. black.  [FGG] Category: colours.
gooroorrooroorroo  	[goo-roorroo-roorroo] nominal. termite, white ant.  [SL] Category: insects and spiders.
gooroowali  	[gooroo-wali] nominal. quartz. Gooroowali is found close to Mt Pierre Station.  [WB, TC, SL] Category: artifacts.
goorra  	nominal. stone axe.  [WB, MQ] Category: artifacts.
goorragoorra  	[goorra-goorra] nominal. stormbird. Scythrops novaehollandiae.  [SL, NS, GW] Category: birds.
goorrarnda  	[goorr-arnda] nominal. brolga. Grus rubicunda.  [FGG, TC, MS] Category: birds.
goorrawoorra  	[goorra-woorra] nominal. caustic vine, milk bush. Sarcostemma viminale subsp. australe. This climber or shrub has no leaves but contains a lot of milky sap. Emus like to eat it.  [SL, JS] Category: plants.
goorrboo  	[goorr-boo] nominal. narrow. Category: space.
goorrgoo  	[goorr-goo] nominal. hole.  [FGG, JD, TC, WB, MQ] Category: Land.  [FGG, JD, TC, wb, mq]
goorri  	nominal. coolamon. This is a big flat coolamon that is used for winnowing.  [WB, RC] Category: artifacts.
goorrij-  	[goo-rrij] bivalent verb. hold. Goornbooga goorrijnga baardi gambangarri. The woman was holding a billycan full of water.  [JC, TC] Category: holding and transfer.
goorriji  	[goorri-ji] nominal. mother-in-law, husband's mother. Nganyi ngaanggi goorriji. I'm your mother-in-law. Category: relations.
goorrijilangoo  	[goorriji-langoo] nominal. woman and her daughter-in-law. Goornboo nhoo gooriji wardbirriyoo wawanyibinyi. The woman and her daughter-in-law went hunting for goanna. Category: relations.
goorrijiwa  	[goorri-jiwa] nominal. her mother-in-law. Goornbooga woobingani maa goorrijiwayoo. The woman was cooking meat for her mother-in-law. Category: relations.
goorrijiwadi  	[goorriji-wadi] nominal. your mother-in-law, your husband's mother. Niyajimi goorrijiwadi ngaanggi? Is that your daughter-in-law? Category: relations.
goorrijiyarrangi  	[goorriji-yarra-ngi] nominal. our mother-in-law. Ngirndaji goornboo yarrangi goorriji. This woman is our mother-in-law. Category: relations.
goorriya  	[goorri-ya] nominal. slate.  [MS] Category: Land.
goorrja  	[goorr-ja] nominal. water plant. najas tenuifolia. There are two types of goorrja: one grows in billabongs and the other grows in rivers.  [TC, SL] Category: plants.
goorrjali  	[goorr-jali] nominal. march-fly. Seen when crocodiles are laying eggs; said to protect the crocodiles.  [GW] Category: insects and spiders.
goorrmirli  	[goorr-mirli] nominal. narrow. Niyaji warrayoondoo goorrmirli marlami dajbila. That dress is too narrow I can't wear it. Category: space.
goorroolyoo  	[goorroo-lyoo] nominal. magpie goose, other names; Pied Goose, Black and White Goose, Semipalmated Goose, Wild Goose., check, might not be a Gooniyandi language name. Anseranas semepalmata. Category: birds.
goorroomba  	[goorroom-ba] nominal. paperbark tree, general term for all paperbark trees. The meaning has been extended to paper.  [WB, SL] Category: trees.
goorroorla  	[goorr-oorla] nominal. billabong.  [WK] Category: Land.
goorroornba  	[goorroorn-ba] nominal. side of body.  [TC, DS] Category: body parts and products.
goowa  	nominal. bad news (especially of someone's death). Yaningi dooyirra goowa. We got bad news today.  [TC, MQ] Category: culture.
goowaj  	[goo-waj] bivalent verb. mention someone's name. Yingi goowajboo niyaji yoowooloo. Say the name of that man.  [TC] Category: describers.
gooyadi  	[goo-yadi] nominal. juice of cooked bullock or other animal meat. Gooyadi maa nhingi boordbarringarragi baadiya. Pour the juice from that meat into the cup for me. Category: animals.
gooyarrgali  	[gooyarr-gali] nominal. yellow-faced whip snake. Damansia psammophis.  [GW, Reptiles and Amphibians 641] Category: snakes.
gooyawanyi  	[gooya-wanyi] nominal. caper bush. Capparisspinosa. This vine is prickly and has small fruit which are yellow when ripe. Emus eat them.  [JS, GW] Category: plants.
gooyoorrg  	[goo-yoorrg] verb. spray water from mouth. Category: bodily functions.
graa  	nominal. close up, nearby. Category: space.
graag  	monovalent verb. approach, come closer. Ngamoo graaggoowani yiwindi liyarnali. The rain is already coming closer from the west.  [TC] Category: motion.
grarr  	verb. crawl. Gambayi lambardi grarrmi yaningi nyali. The little boy started crawling today. Category: actions.
grinybali  	[griny-bali] nominal. autumn, end of summer and beginning of winter. Category: elements.
griyi  	nominal. medicinal sap. Obtained from bloodwood, ghostgum, coolibah and river red gum trees and used as treatment for toothache, and for bathing sores.  [WB, TC, MQ] Category: plants.
J  -  j
Jalnganjoowa  	[Jal-ngan-joowa] nominal. Old Fossil Downs Station.  [SH, JD] Category: Placenames and Country.
Jamboonganybarn  	[Jamboo-ngany-barn] nominal. water hole on the Garloo section of the Fitzroy river on Go Go Station.
Jangoorlboorroongoo  	[Jangoorl-boorroo-ngoo] nominal. Ngoombarn cliffs near Ngoombarn community on Christmas Creek Station.  [RC] Category: Placenames and Country.
Jarlarloongarri  	[Jarlarloo-ngarri] nominal. Lawford Spring on Mt Pierre station.  [RC, TC] Category: Placenames and Country.
Jarniwa  	[Jarni-wa] nominal. Little Horse Spring on Fossil Downs Station.  [JD] Category: Placenames and Country.
Jarooljarool  	[Jarool-jarool] nominal. waterhole on the Fitzroy River on GoGo Station.  [TC, ET] Category: Placenames and Country.
Jawoornjawoorndoo  	[Jawoorn-jarwoorn-doo] nominal. section of Christmas Creek river from Ngooyaga to Gandarragoowa on Larrawa Station.  [WK] Category: Placenames and Country.
Jijirdgi  	[Ji-jirdgi] nominal. 1 • Diamond Gorge water hole on the Fitzroy River. Note: In some Bunuba publications spelling Jidjidji has been used for this place.  [SL] Category: Placenames and Country.
2 • small bush. Canthium sp. used to ripen conkerberries chemically. Conkerberries are placed in a coolaman, covered with branches of the jijirdgi and left overnight. The chemicals in the branches ripen the berries. This branch is also used to smoke babies.  [JS, TC, B&B 173] Category: trees.
Jilgirra  	[Jil-girra] nominal. swampy spring on Louisa Downs Station.  [MS] Category: Placenames and Country.
Jiljiyardi  	[Jilji-yardi] nominal. long billabong on Gogo Station.  [RC] Category: Placenames and Country.
Jimbirla  	[Jim-birla] nominal. 1 • spearhead, bottlegrass. spearheads were made from quartz. Category: artifacts.
2 • place on Louisa Downs Station where a lot of jimbirla is found.  [PM, MS, WK] Category: Placenames and Country.
Jimirlibarn  	[Jimirli-barn] nominal. junction of Fitzroy and Christmas Creek rivers on GoGo Station. Category: Placenames and Country.
Jira  	nominal. hill near Bayulu Community. Category: Placenames and Country.
Jirloo  	nominal. 1 • waterhole wich feeds into the Margaret River on Louisa Downs Station.  [MS] Category: Placenames and Country.
2 • small whip snake. Damansia papuensis. this word describes small snakes  in general.  [MS] Category: snakes.
Jirndiwirrijga  	[Jirndi-wirrij-ga] nominal. outcrop of large rocks known as Morgan's grave, on Mt Pierre Station. Category: Placenames and Country.
Jirrinyoowa  	[Jirri-nyoo-wa] nominal. Cabbage Gorge on Fossil Downs Station.  [RC, McGregor] Category: Placenames and Country.
Jirriyoowa  	[Jirri-yoowa] nominal. 1 • Community on Louisa Downs Station..  [WK] Category: Placenames and Country.
2 • Springwater on Larrawa Station. Category: Placenames and Country.
Jiwilyoogoo  	[Jiwi-lyoo-goo] nominal. pacific black duck, other names;  Black Duck,  Wild Duck,  Grey Duck,  Brown Duck,  Blackie, general word for all ducks. Anas superciliosa.  [SL, RC, S&D 56, Field guide to birds of WA 80] Category: birds.
Jiwirngi  	[Jiwirn-gi] nominal. water hole on Louisa Downs Station.  [WK, MS] Category: Placenames and Country.
Joogmoowirri  	[Joog-moo-wirri] nominal. place on Mt Pierre Station. Ngamoo yoowooloo wardbirri joogmiwirriyirra thirrwi nyagbiwoo. A long time ago men use to go to joogmiwirri to spear hill kangaroos. Category: Placenames and Country.
Joomboorlbari  	[Joomboorl-bari] nominal. waterhole on the Christmas Creek river on Christmas Creek Station. Category: Placenames and Country.
Joonggoojoonggoorrawarn  	[Joong-goo-joong-goorr-ara-warn] nominal. old donkey crossing on the Fitzroy River on GoGon Station.  [TC, E] Category: Placenames and Country.
Joorljoorloowa  	[Joorl-joorl-oowa] nominal. Blue Bush Yard on Louisa Downs Station.  [MS] Category: Placenames and Country.
Joorloo  	adverb. together. Yoowooloo, goornboo, joorloo nyali wardbirriyoo. Man and woman went together.  [TC] Category: describers.
Joornda  	[Joorn-da] nominal. 1 • water hole on the Margaret River.  [MS] Category: Placenames and Country.
2 • One Tree Plains on GoGo Station - a holding yard for drovers droving cattle to Derby.  [WK, MS] Category: Placenames and Country.
3 • bush onion. Cyperus bulbosus. These small tubers are dug up from the ground and can be eaten raw or roasted. The skin is removed by rubbing between the hands. An important dry season food. They can be stored. Category: bush food.
Joowarringarri  	[Joowarri-ngarri] nominal. springwater near Eight Mile Community on GoGo Station which give its name to the Community.  [WK] Category: Placenames and Country.
jaa  	verb. retain, amount of liquid. Woonggoorloo jaari nyamaninyali yiwirndi nhingi. There is still plenty of water lying in puddles after the rain.  [TC, DS] Category: quantifiers.
jaadoo  	[jaa-doo] nominal. grasshopper, locust. Nyamani jaadoo, ginyandi ngabgila gilirni, yimarrarra. Big grashoppers that eat the grass and leaves. general term for all grasshoppers.  [TC, ET] Category: insects and spiders.
jaalinyi  	[jaa-linyi] nominal. 1 • moon. Jaalinyi bijgoowarni ngilmangi. The moon is rising from the east. Category: elements.
2 • month. Yaningi jaalinyi moonggoowarla madiya. This month is winter, very cold. Category: elements.
3 • moongrub. Nganyingga doowoola gawi jaalinyi ngarringga. I caught a fish with moongrub bait. Category: insects and spiders.
jabi  	nominal. 1 • tip of a branch. Wawanyi barwindi thaanoogoo girili jabiya. The goanna climbed up to the tip of the branch. Category: space.
2 • nape of neck.  [FGG 40, TC, MQ] Category: body parts and products.
jaboorr  	[ja-boorr] ambivalent verb. wade. Boogayarndi jaboorrwinmi gambabinyi. The children waded across the water.  [TC, DS] Category: actions.
jadiyadi  	[jadi-yadi] nominal. spoonbill. Platalea flavipes.  [SL, RC, TC, MQ] Category: birds.
jagarndi  	[ja-garndi] nominal. awake, alive. Jajinhingiwami jagarndi bagingi maningga. I don't know why I was lying awake last night.  [FGG, TC] Category: describers.
jagarra  	[ja-garra] nominal. A skin group, male subdivision of one of the eight subsections into which Gooniyandi society is divided.  [WB] Category: skin groups.
